Assay.Type,Indiv.ID,Assay_Round,Activity
Novel,2_14.Az,3,39
Predator,2_14.Az,1,26
Predator,2_14.Az,2,27
Predator,2_14.Az,3,50
Foraging,2_2.Az,1,0
Foraging,2_2.Az,2,0
Foraging,2_2.Az,3,0
Novel,2_2.Az,1,0
Novel,2_2.Az,2,0
Novel,2_2.Az,3,0
Predator,2_2.Az,1,0
Predator,2_2.Az,2,0
Predator,2_2.Az,3,0
Foraging,2_2.Bz,1,1
Foraging,2_2.Bz,2,6
Foraging,2_2.Bz,3,4
Novel,2_2.Bz,1,18
Novel,2_2.Bz,2,11
Novel,2_2.Bz,3,14
Predator,2_2.Bz,1,26
Predator,2_2.Bz,2,31
Predator,2_2.Bz,3,5
Foraging,2_2.Cz,1,10
Foraging,2_2.Cz,2,16
Foraging,2_2.Cz,3,6
Novel,2_2.Cz,1,18
Novel,2_2.Cz,2,3
Novel,2_2.Cz,3,0
Predator,2_2.Cz,1,0
Predator,2_2.Cz,2,0
Predator,2_2.Cz,3,0
Foraging,2_2.Dz,1,0
Foraging,2_2.Dz,2,0
Foraging,2_2.Dz,3,0
Novel,2_2.Dz,1,0
Novel,2_2.Dz,2,0
Novel,2_2.Dz,3,0
Predator,2_2.Dz,1,0
Predator,2_2.Dz,2,0
Predator,2_2.Dz,3,0
Foraging,2_2.Ez,1,0
Foraging,2_2.Ez,2,44
Foraging,2_2.Ez,3,8
Novel,2_2.Ez,1,0
Novel,2_2.Ez,2,0
Novel,2_2.Ez,3,0
Predator,2_2.Ez,1,0
Predator,2_2.Ez,2,0
Predator,2_2.Ez,3,0
Foraging,2_4.Bz,1,0
Foraging,2_4.Bz,2,0
Foraging,2_4.Bz,3,0
Novel,2_4.Bz,1,0
Novel,2_4.Bz,2,0
Novel,2_4.Bz,3,0
Predator,2_4.Bz,1,4
Predator,2_4.Bz,2,5
Predator,2_4.Bz,3,4
Foraging,2_4.Cz,1,12
Foraging,2_4.Cz,2,19
Foraging,2_4.Cz,3,22
Novel,2_4.Cz,1,36
Novel,2_4.Cz,2,26
Novel,2_4.Cz,3,19
Predator,2_4.Cz,1,26
Predator,2_4.Cz,2,26
Predator,2_4.Cz,3,23
Foraging,2_8.Bz,1,0
Foraging,2_8.Bz,2,0
Foraging,2_8.Bz,3,4
Novel,2_8.Bz,1,0
Novel,2_8.Bz,2,0
Novel,2_8.Bz,3,2
Predator,2_8.Bz,1,0
Predator,2_8.Bz,2,3
Predator,2_8.Bz,3,3
Foraging,2_8.Cz,1,1
Foraging,2_8.Cz,2,1
Foraging,2_8.Cz,3,0
Novel,2_8.Cz,1,21
Novel,2_8.Cz,2,5
Novel,2_8.Cz,3,0
Predator,2_8.Cz,1,0
Predator,2_8.Cz,2,0
Predator,2_8.Cz,3,0
Foraging,3_1.Az,1,8
Foraging,3_1.Az,2,8
Foraging,3_1.Az,3,6
Novel,3_1.Az,1,0
Novel,3_1.Az,2,3
Novel,3_1.Az,3,0
Predator,3_1.Az,1,5
Predator,3_1.Az,2,24
Predator,3_1.Az,3,11
Foraging,3_1.Bz,1,0
Foraging,3_1.Bz,2,0
Foraging,3_1.Bz,3,0
Novel,3_1.Bz,1,0
Novel,3_1.Bz,2,0
Novel,3_1.Bz,3,0
Predator,3_1.Bz,1,0
Predator,3_1.Bz,2,0
Predator,3_1.Bz,3,0
Foraging,3_12.Az,1,9
Foraging,3_12.Az,2,11
Foraging,3_12.Az,3,10
Novel,3_12.Az,1,6
Novel,3_12.Az,2,4
Novel,3_12.Az,3,0
Predator,3_12.Az,1,2
Predator,3_12.Az,2,14
Predator,3_12.Az,3,37
Foraging,3_12.Bz,1,14
Foraging,3_12.Bz,2,25
Foraging,3_12.Bz,3,20
Novel,3_12.Bz,1,20
Novel,3_12.Bz,2,22
Novel,3_12.Bz,3,10
Predator,3_12.Bz,1,11
Predator,3_12.Bz,2,6
Predator,3_12.Bz,3,0
Foraging,3_12.Dz,1,56
Foraging,3_12.Dz,2,15
Foraging,3_12.Dz,3,15
Novel,3_12.Dz,1,4
Novel,3_12.Dz,2,15
Novel,3_12.Dz,3,4
Predator,3_12.Dz,1,24
Predator,3_12.Dz,2,23
Predator,3_12.Dz,3,17
Foraging,3_12.Ez,1,14
Foraging,3_12.Ez,2,21
Foraging,3_12.Ez,3,9
Novel,3_12.Ez,1,11
Novel,3_12.Ez,2,1
Novel,3_12.Ez,3,0
Predator,3_12.Ez,1,0
Predator,3_12.Ez,2,0
Predator,3_12.Ez,3,0
Foraging,3_14.Az,1,12
Foraging,3_14.Az,2,0
Foraging,3_14.Az,3,0
Novel,3_14.Az,1,0
Novel,3_14.Az,2,0
Novel,3_14.Az,3,0
Predator,3_14.Az,1,0
Predator,3_14.Az,2,0
Predator,3_14.Az,3,2
Foraging,3_4.Az,1,15
Foraging,3_4.Az,2,24
Foraging,3_4.Az,3,11
Novel,3_4.Az,1,32
Novel,3_4.Az,2,30
Novel,3_4.Az,3,21
Predator,3_4.Az,1,22
Predator,3_4.Az,2,13
Predator,3_4.Az,3,36
Foraging,3_4.Bz,1,17
Foraging,3_4.Bz,2,14
Foraging,3_4.Bz,3,24
Novel,3_4.Bz,1,22
Novel,3_4.Bz,2,13
Novel,3_4.Bz,3,14
Predator,3_4.Bz,1,19
Predator,3_4.Bz,2,29
Predator,3_4.Bz,3,14
Foraging,3_4.Cz,1,0
Foraging,3_4.Cz,2,0
Foraging,3_4.Cz,3,25
Novel,3_4.Cz,1,2
Novel,3_4.Cz,2,0
Novel,3_4.Cz,3,0
Predator,3_4.Cz,1,5
Predator,3_4.Cz,2,13
Predator,3_4.Cz,3,21
Foraging,3_4.Dz,1,1
Foraging,3_4.Dz,2,4
Foraging,3_4.Dz,3,3
Novel,3_4.Dz,1,0
Novel,3_4.Dz,2,0
Novel,3_4.Dz,3,0
Predator,3_4.Dz,1,0
Predator,3_4.Dz,2,0
Predator,3_4.Dz,3,0
Foraging,3_5.Az,1,20
Foraging,3_5.Az,2,23
Foraging,3_5.Az,3,26
Novel,3_5.Az,1,20
Novel,3_5.Az,2,24
Novel,3_5.Az,3,26
Predator,3_5.Az,1,32
Predator,3_5.Az,2,25
Predator,3_5.Az,3,15
Foraging,3_5.Bz,1,30
Foraging,3_5.Bz,2,23
Foraging,3_5.Bz,3,6
Novel,3_5.Bz,1,19
Novel,3_5.Bz,2,2
Novel,3_5.Bz,3,0
Predator,3_5.Bz,1,0
Predator,3_5.Bz,2,0
Predator,3_5.Bz,3,0
Foraging,3_6.Az,1,12
Foraging,3_6.Az,2,0
Foraging,3_6.Az,3,25
Novel,3_6.Az,1,8
Novel,3_6.Az,2,15
Novel,3_6.Az,3,14
Predator,3_6.Az,1,14
Predator,3_6.Az,2,10
Predator,3_6.Az,3,1
Foraging,3_6.Bz,1,23
Foraging,3_6.Bz,2,22
Foraging,3_6.Bz,3,17
Novel,3_6.Bz,1,14
Novel,3_6.Bz,2,15
Novel,3_6.Bz,3,17
Predator,3_6.Bz,1,9
Predator,3_6.Bz,2,3
Predator,3_6.Bz,3,5
Foraging,3_9.Az,1,16
Foraging,3_9.Az,2,7
Foraging,3_9.Az,3,26
Novel,3_9.Az,1,17
Novel,3_9.Az,2,5
Novel,3_9.Az,3,15
Predator,3_9.Az,1,20
Predator,3_9.Az,2,20
Predator,3_9.Az,3,0
Foraging,3_9.Bz,1,28
Foraging,3_9.Bz,2,8
Foraging,3_9.Bz,3,15
Novel,3_9.Bz,1,24
Novel,3_9.Bz,2,17
Novel,3_9.Bz,3,13
Predator,3_9.Bz,1,7
Predator,3_9.Bz,2,19
Predator,3_9.Bz,3,23
Foraging,4_10.Az,1,7
Foraging,4_10.Az,2,6
Foraging,4_10.Az,3,9
Novel,4_10.Az,1,3
Novel,4_10.Az,2,13
Novel,4_10.Az,3,13
Predator,4_10.Az,1,17
Predator,4_10.Az,2,20
Predator,4_10.Az,3,11
Foraging,4_10.Bz,1,0
Foraging,4_10.Bz,2,0
Foraging,4_10.Bz,3,0
Novel,4_10.Bz,1,0
Novel,4_10.Bz,2,0
Novel,4_10.Bz,3,0
Predator,4_10.Bz,1,0
Predator,4_10.Bz,2,0
Predator,4_10.Bz,3,0
Foraging,4_10.Cz,1,18
Foraging,4_10.Cz,2,19
Foraging,4_10.Cz,3,23
Novel,4_10.Cz,1,22
Novel,4_10.Cz,2,12
Novel,4_10.Cz,3,18
Predator,4_10.Cz,1,24
Predator,4_10.Cz,2,12
Predator,4_10.Cz,3,15
Foraging,4_11.Az,1,1
Foraging,4_11.Az,2,10
Foraging,4_11.Az,3,9
Novel,4_11.Az,1,5
Novel,4_11.Az,2,13
Novel,4_11.Az,3,4
Predator,4_11.Az,1,11
Predator,4_11.Az,2,13
Predator,4_11.Az,3,6
Foraging,4_11.Bz,1,0
Foraging,4_11.Bz,2,0
Foraging,4_11.Bz,3,0
Novel,4_11.Bz,1,0
Novel,4_11.Bz,2,0
Novel,4_11.Bz,3,0
Predator,4_11.Bz,1,0
Predator,4_11.Bz,2,0
Predator,4_11.Bz,3,0
Foraging,4_4.Az,1,19
Foraging,4_4.Az,2,11
Foraging,4_4.Az,3,19
Novel,4_4.Az,1,7
Novel,4_4.Az,2,21
Novel,4_4.Az,3,16
Predator,4_4.Az,1,10
Predator,4_4.Az,2,12
Predator,4_4.Az,3,23
Foraging,4_6.Az,1,0
Foraging,4_6.Az,2,0
Foraging,4_6.Az,3,0
Novel,4_6.Az,1,0
Novel,4_6.Az,2,0
Novel,4_6.Az,3,0
Predator,4_6.Az,1,0
Predator,4_6.Az,2,0
Predator,4_6.Az,3,0
Foraging,4_6.Bz,1,0
Foraging,4_6.Bz,2,0
Foraging,4_6.Bz,3,0
Novel,4_6.Bz,1,0
Novel,4_6.Bz,2,0
Novel,4_6.Bz,3,0
Predator,4_6.Bz,1,0
Predator,4_6.Bz,2,0
Predator,4_6.Bz,3,0
Foraging,4_7.Az,1,9
Foraging,4_7.Az,2,1
Foraging,4_7.Az,3,0
Novel,4_7.Az,1,0
Novel,4_7.Az,2,10
Novel,4_7.Az,3,25
Predator,4_7.Az,1,0
