Indiv.ID,Assay_Type,Activity,Survey_Round
BS_39,Predator,5,2
BS_39,Foraging,0,3
BS_39,Novel,2,3
BS_39,Predator,11.842,3
BS_4,Foraging,0,1
BS_4,Novel,44.265,1
BS_4,Predator,6.842,1
BS_4,Foraging,7.616,2
BS_4,Novel,25,2
BS_4,Predator,63.825,2
BS_4,Foraging,14,3
BS_4,Novel,6.606,3
BS_4,Predator,11.402,3
BS_40,Foraging,0,1
BS_40,Novel,0,1
BS_40,Predator,61,1
BS_40,Foraging,24,2
BS_40,Novel,4,2
BS_40,Predator,7,2
BS_40,Foraging,6.236,3
BS_40,Novel,82.257,3
BS_40,Predator,107.868,3
BS_40,Foraging,33.368,4
BS_40,Novel,13.634,4
BS_40,Predator,3,4
BS_40,Foraging,43,5
BS_40,Novel,114.411,5
BS_40,Predator,5,5
BS_40,Foraging,10,6
BS_40,Novel,8,6
BS_40,Predator,88.944,6
BS_40,Foraging,16.09,7
BS_40,Novel,120.603,7
BS_40,Predator,16.568,7
BS_7,Foraging,70.453,1
BS_7,Novel,15.877,1
BS_7,Predator,5.243,1
BS_7,Foraging,90.575,2
BS_7,Novel,69.871,2
BS_7,Predator,13.243,2
BS_7,Foraging,16,3
BS_7,Novel,1.414,3
BS_7,Predator,0,3
BS_7,Foraging,23.468,4
BS_7,Novel,25.792,4
BS_7,Predator,18.24,4
BS_7,Foraging,49,5
BS_7,Novel,11,5
BS_7,Predator,5,5
BS_7,Foraging,20.28,6
BS_7,Novel,32.526,6
BS_7,Predator,6.064,6
BS_7,Foraging,50.698,7
BS_7,Novel,8,7
BS_7,Predator,0,7
