Indiv.ID,Activity,Assay,Personality.Assign
080718_66,16,3.PredationRisk,Continuous
080718_67,95,1.Foraging,NA
080718_67,67,2.NovelObj,NA
080718_67,109,3.PredationRisk,NA
080718_68,68,1.Foraging,Bold
080718_68,70,2.NovelObj,Bold
080718_68,59,3.PredationRisk,Bold
080718_70,67,1.Foraging,Continuous
080718_70,12,2.NovelObj,Continuous
080718_70,38,3.PredationRisk,Continuous
080718_74,45,1.Foraging,Continuous
080718_74,34.3,2.NovelObj,Continuous
080718_74,26,3.PredationRisk,Continuous
080718_76,2,1.Foraging,Shy
080718_76,1,2.NovelObj,Shy
080718_76,37,3.PredationRisk,Shy
080718_80,0,1.Foraging,NA
080718_80,13,2.NovelObj,NA
080718_80,18,3.PredationRisk,NA
080718_82,121,1.Foraging,NA
080718_82,78,2.NovelObj,NA
080718_82,80,3.PredationRisk,NA
080718_83,12.7,1.Foraging,Shy
080718_83,0,2.NovelObj,Shy
080718_83,0,3.PredationRisk,Shy
080718_95,57,1.Foraging,Continuous
080718_95,11.4,2.NovelObj,Continuous
080718_95,31.8,3.PredationRisk,Continuous
080718_96,2,1.Foraging,NA
080718_96,3,2.NovelObj,NA
080718_96,53.81,3.PredationRisk,NA
080718_97,81,1.Foraging,Bold
080718_97,96,2.NovelObj,Bold
080718_97,0,3.PredationRisk,Bold
090718_10,0,1.Foraging,Shy
090718_10,26,2.NovelObj,Shy
090718_10,0,3.PredationRisk,Shy
090718_100,79,1.Foraging,Bold
090718_100,9,2.NovelObj,Bold
090718_100,103,3.PredationRisk,Bold
090718_101,113,1.Foraging,Bold
090718_101,27,2.NovelObj,Bold
090718_101,87,3.PredationRisk,Bold
090718_102,103,1.Foraging,Bold
090718_102,50,2.NovelObj,Bold
090718_102,18,3.PredationRisk,Bold
090718_103,57,1.Foraging,Plastic
090718_103,50,2.NovelObj,Plastic
090718_103,0,3.PredationRisk,Plastic
090718_104,36,1.Foraging,Bold
090718_104,6,2.NovelObj,Bold
090718_104,56,3.PredationRisk,Bold
090718_105,77,1.Foraging,Continuous
090718_105,0,2.NovelObj,Continuous
090718_105,13,3.PredationRisk,Continuous
090718_106,97,1.Foraging,Bold
090718_106,77,2.NovelObj,Bold
090718_106,0,3.PredationRisk,Bold
090718_107,59,1.Foraging,Bold
090718_107,14,2.NovelObj,Bold
090718_107,92,3.PredationRisk,Bold
090718_108,35,1.Foraging,Continuous
090718_108,48.2,2.NovelObj,Continuous
090718_108,0,3.PredationRisk,Continuous
090718_109,136,1.Foraging,Bold
090718_109,98,2.NovelObj,Bold
090718_109,94,3.PredationRisk,Bold
090718_11,71,1.Foraging,Bold
090718_11,94,2.NovelObj,Bold
090718_11,16,3.PredationRisk,Bold
090718_111,0,1.Foraging,Shy
090718_111,0,2.NovelObj,Shy
090718_111,0,3.PredationRisk,Shy
090718_112,40,1.Foraging,Continuous
090718_112,3,2.NovelObj,Continuous
090718_112,74,3.PredationRisk,Continuous
090718_114,0,1.Foraging,Shy
090718_114,23,2.NovelObj,Shy
090718_114,49,3.PredationRisk,Shy
090718_115,57,1.Foraging,Continuous
090718_115,57,2.NovelObj,Continuous
090718_115,14,3.PredationRisk,Continuous
090718_12,70,1.Foraging,Plastic
090718_12,42,2.NovelObj,Plastic
090718_12,1,3.PredationRisk,Plastic
090718_120,74,1.Foraging,
090718_120,47,2.NovelObj,Continuous
090718_120,43,3.PredationRisk,Continuous
090718_121,64,1.Foraging,Continuous
090718_121,19,2.NovelObj,Continuous
090718_121,4,3.PredationRisk,Continuous
090718_122,61,1.Foraging,Plastic
090718_122,46.2,2.NovelObj,Plastic
090718_122,0,3.PredationRisk,Plastic
090718_123,0,1.Foraging,NA
090718_123,14,2.NovelObj,NA
090718_123,0,3.PredationRisk,NA
090718_124,122,1.Foraging,Bold
090718_124,71,2.NovelObj,Bold
090718_124,17,3.PredationRisk,Bold
