Indiv.ID,Survey_Round,Assay_Round,Assay_Type,Activity
BS_16,5,1,Novel,0
BS_16,5,2,Novel,0
BS_16,5,3,Novel,0
BS_16,5,1,Predator,5
BS_16,5,2,Predator,0
BS_16,5,3,Predator,4
BS_16,6,1,Foraging,5
BS_16,6,2,Foraging,0
BS_16,6,3,Foraging,1
BS_16,6,1,Novel,2
BS_16,6,2,Novel,1
BS_16,6,3,Novel,0
BS_16,6,1,Predator,0
BS_16,6,2,Predator,2
BS_16,6,3,Predator,2
BS_16,7,1,Foraging,2
BS_16,7,2,Foraging,11
BS_16,7,3,Foraging,0
BS_16,7,1,Novel,10
BS_16,7,2,Novel,13
BS_16,7,3,Novel,9
BS_16,7,1,Predator,4
BS_16,7,2,Predator,0
BS_16,7,3,Predator,0
BS_17,1,1,Foraging,12
BS_17,1,2,Foraging,8
BS_17,1,3,Foraging,16
BS_17,1,1,Novel,27
BS_17,1,2,Novel,5
BS_17,1,3,Novel,18
BS_17,1,1,Predator,12
BS_17,1,2,Predator,16
BS_17,1,3,Predator,15
BS_17,2,1,Foraging,24
BS_17,2,2,Foraging,26
BS_17,2,3,Foraging,25
BS_17,2,1,Novel,24
BS_17,2,2,Novel,0
BS_17,2,3,Novel,1
BS_17,2,1,Predator,0
BS_17,2,2,Predator,0
BS_17,2,3,Predator,0
BS_17,3,1,Foraging,35
BS_17,3,2,Foraging,35
BS_17,3,3,Foraging,28
BS_17,3,1,Novel,0
BS_17,3,2,Novel,12
BS_17,3,3,Novel,16
BS_17,3,1,Predator,23
BS_17,3,2,Predator,6
BS_17,3,3,Predator,0
BS_17,4,1,Foraging,29
BS_17,4,2,Foraging,16
BS_17,4,3,Foraging,20
BS_17,4,1,Novel,28
BS_17,4,2,Novel,0
BS_17,4,3,Novel,0
BS_17,4,1,Predator,26
BS_17,4,2,Predator,26
BS_17,4,3,Predator,0
BS_19,1,1,Foraging,4
BS_19,1,2,Foraging,4
BS_19,1,3,Foraging,1
BS_19,1,1,Novel,26
BS_19,1,2,Novel,0
BS_19,1,3,Novel,0
BS_19,1,1,Predator,32
BS_19,1,2,Predator,0
BS_19,1,3,Predator,16
BS_19,2,1,Foraging,11
BS_19,2,2,Foraging,3
BS_19,2,3,Foraging,1
BS_19,2,1,Novel,9
BS_19,2,2,Novel,8
BS_19,2,3,Novel,9
BS_19,2,1,Predator,0
BS_19,2,2,Predator,0
BS_19,2,3,Predator,0
BS_19,3,1,Foraging,3
BS_19,3,2,Foraging,0
BS_19,3,3,Foraging,0
BS_19,3,1,Novel,6
BS_19,3,2,Novel,1
BS_19,3,3,Novel,0
BS_19,3,1,Predator,0
BS_19,3,2,Predator,0
BS_19,3,3,Predator,0
BS_19,4,1,Foraging,0
BS_19,4,2,Foraging,0
BS_19,4,3,Foraging,0
BS_19,4,1,Novel,0
BS_19,4,2,Novel,0
BS_19,4,3,Novel,0
BS_19,4,1,Predator,0
BS_19,4,2,Predator,0
BS_19,4,3,Predator,0
BS_19,5,1,Foraging,9
BS_19,5,2,Foraging,7
BS_19,5,3,Foraging,3
BS_19,5,1,Novel,0
BS_19,5,2,Novel,7
BS_19,5,3,Novel,1
BS_19,5,1,Predator,3
BS_19,5,2,Predator,3
BS_19,5,3,Predator,0
BS_19,6,1,Foraging,0
BS_19,6,2,Foraging,0
BS_19,6,3,Foraging,0
BS_19,6,1,Novel,8
BS_19,6,2,Novel,4
BS_19,6,3,Novel,2
BS_19,6,1,Predator,2
BS_19,6,2,Predator,9
BS_19,6,3,Predator,7
BS_19,7,1,Foraging,13
BS_19,7,2,Foraging,0
BS_19,7,3,Foraging,1
BS_19,7,1,Novel,28
BS_19,7,2,Novel,0
BS_19,7,3,Novel,1
BS_19,7,1,Predator,0
BS_19,7,2,Predator,0
BS_19,7,3,Predator,0
BS_2,1,1,Foraging,16
BS_2,1,2,Foraging,16
BS_2,1,3,Foraging,21
BS_2,1,1,Novel,1
BS_2,1,2,Novel,13
BS_2,1,3,Novel,9
BS_2,1,1,Predator,29
BS_2,1,2,Predator,20
BS_2,1,3,Predator,17
BS_2,2,1,Foraging,29
BS_2,2,2,Foraging,16
BS_2,2,3,Foraging,29
BS_2,2,1,Novel,23
BS_2,2,2,Novel,2
BS_2,2,3,Novel,30
BS_2,2,1,Predator,1
BS_2,2,2,Predator,7
BS_2,2,3,Predator,21
BS_2,3,1,Foraging,0
BS_2,3,2,Foraging,0
BS_2,3,3,Foraging,0
BS_2,3,1,Novel,5
BS_2,3,2,Novel,9
BS_2,3,3,Novel,0
BS_2,3,1,Predator,1
BS_2,3,2,Predator,1
BS_2,3,3,Predator,0
BS_2,4,1,Foraging,9
BS_2,4,2,Foraging,0
BS_2,4,3,Foraging,0
BS_2,4,1,Novel,0
BS_2,4,2,Novel,0
BS_2,4,3,Novel,0
BS_2,4,1,Predator,0
BS_2,4,2,Predator,0
BS_2,4,3,Predator,0
BS_2,5,1,Foraging,0
BS_2,5,2,Foraging,0
BS_2,5,3,Foraging,0
BS_2,5,1,Novel,5
BS_2,5,2,Novel,0
BS_2,5,3,Novel,0
BS_2,5,1,Predator,0
BS_2,5,2,Predator,0
BS_2,5,3,Predator,1
BS_2,6,1,Foraging,10
BS_2,6,2,Foraging,13
BS_2,6,3,Foraging,7
BS_2,6,1,Novel,23
BS_2,6,2,Novel,4
BS_2,6,3,Novel,21
BS_2,6,1,Predator,31
BS_2,6,2,Predator,13
BS_2,6,3,Predator,1
BS_2,7,1,Foraging,1
BS_2,7,2,Foraging,0
BS_2,7,3,Foraging,0
BS_2,7,1,Novel,4
BS_2,7,2,Novel,0
BS_2,7,3,Novel,0
BS_2,7,1,Predator,3
BS_2,7,2,Predator,0
BS_2,7,3,Predator,0
BS_21,1,1,Foraging,0
BS_21,1,2,Foraging,0
BS_21,1,3,Foraging,0
BS_21,1,1,Novel,20
BS_21,1,2,Novel,0
BS_21,1,3,Novel,7
BS_21,1,1,Predator,24
BS_21,1,2,Predator,12
BS_21,1,3,Predator,11
BS_21,2,1,Foraging,0
BS_21,2,2,Foraging,12
BS_21,2,3,Foraging,14
BS_21,2,1,Novel,0
BS_21,2,2,Novel,0
BS_21,2,3,Novel,0
BS_21,2,1,Predator,15
BS_21,2,2,Predator,27
BS_21,2,3,Predator,4
BS_21,3,1,Foraging,0
BS_21,3,2,Foraging,0
BS_21,3,3,Foraging,0
BS_21,3,1,Novel,17
BS_21,3,2,Novel,12
BS_21,3,3,Novel,24
BS_21,3,1,Predator,10
BS_21,3,2,Predator,1
BS_21,3,3,Predator,0
BS_21,4,1,Foraging,8
BS_21,4,2,Foraging,4
BS_21,4,3,Foraging,15
BS_21,4,1,Novel,0
BS_21,4,2,Novel,0
BS_21,4,3,Novel,1
BS_21,4,1,Predator,1
BS_21,4,2,Predator,22
BS_21,4,3,Predator,28
BS_21,5,1,Foraging,0
BS_21,5,2,Foraging,0
BS_21,5,3,Foraging,16
BS_21,5,1,Novel,9
BS_21,5,2,Novel,17
BS_21,5,3,Novel,2
BS_21,5,1,Predator,0
BS_21,5,2,Predator,0
BS_21,5,3,Predator,0
BS_22,1,1,Foraging,0
BS_22,1,2,Foraging,13
BS_22,1,3,Foraging,4
BS_22,1,1,Novel,4
BS_22,1,2,Novel,0
BS_22,1,3,Novel,0
BS_22,1,1,Predator,5
BS_22,1,2,Predator,0
BS_22,1,3,Predator,1
BS_22,2,1,Foraging,0
BS_22,2,2,Foraging,0
BS_22,2,3,Foraging,0
BS_22,2,1,Novel,0
BS_22,2,2,Novel,0
BS_22,2,3,Novel,0
BS_22,2,1,Predator,0
BS_22,2,2,Predator,1
BS_22,2,3,Predator,0
BS_22,3,1,Foraging,0
BS_22,3,2,Foraging,0
BS_22,3,3,Foraging,0
BS_22,3,1,Novel,0
BS_22,3,2,Novel,0
BS_22,3,3,Novel,0
BS_22,3,1,Predator,0
BS_22,3,2,Predator,0
BS_22,3,3,Predator,0
BS_24,1,1,Foraging,27
BS_24,1,2,Foraging,13
BS_24,1,3,Foraging,30
BS_24,1,1,Novel,32
BS_24,1,2,Novel,25
BS_24,1,3,Novel,4
BS_24,1,1,Predator,5
BS_24,1,2,Predator,12
BS_24,1,3,Predator,16
BS_24,2,1,Foraging,3
BS_24,2,2,Foraging,2
BS_24,2,3,Foraging,0
BS_24,2,1,Novel,0
BS_24,2,2,Novel,0
BS_24,2,3,Novel,0
BS_24,2,1,Predator,0
BS_24,2,2,Predator,0
BS_24,2,3,Predator,0
BS_24,3,1,Foraging,4
BS_24,3,2,Foraging,13
BS_24,3,3,Foraging,4
BS_24,3,1,Novel,3
BS_24,3,2,Novel,3
BS_24,3,3,Novel,0
BS_24,3,1,Predator,13
BS_24,3,2,Predator,2
BS_24,3,3,Predator,0
BS_24,4,1,Foraging,12
BS_24,4,2,Foraging,24
BS_24,4,3,Foraging,17
BS_24,4,1,Novel,17
BS_24,4,2,Novel,8
BS_24,4,3,Novel,0
BS_24,4,1,Predator,11
BS_24,4,2,Predator,21
BS_24,4,3,Predator,8
BS_25,1,1,Foraging,12
BS_25,1,2,Foraging,13
BS_25,1,3,Foraging,5
BS_25,1,1,Novel,20
BS_25,1,2,Novel,8
BS_25,1,3,Novel,0
BS_25,1,1,Predator,0
BS_25,1,2,Predator,0
BS_25,1,3,Predator,0
BS_25,2,1,Foraging,0
BS_25,2,2,Foraging,0
BS_25,2,3,Foraging,0
BS_25,2,1,Novel,0
BS_25,2,2,Novel,0
BS_25,2,3,Novel,0
BS_25,2,1,Predator,2
BS_25,2,2,Predator,0
BS_25,2,3,Predator,0
BS_25,3,1,Foraging,3
BS_25,3,2,Foraging,12
BS_25,3,3,Foraging,4
BS_25,3,1,Novel,2
BS_25,3,2,Novel,10
BS_25,3,3,Novel,15
BS_25,3,1,Predator,0
BS_25,3,2,Predator,0
BS_25,3,3,Predator,0
BS_25,4,1,Foraging,0
BS_25,4,2,Foraging,0
BS_25,4,3,Foraging,4
BS_25,4,1,Novel,0
BS_25,4,2,Novel,0
BS_25,4,3,Novel,0
BS_25,4,1,Predator,0
BS_25,4,2,Predator,0
BS_25,4,3,Predator,0
BS_25,5,1,Foraging,0
BS_25,5,2,Foraging,2
BS_25,5,3,Foraging,0
BS_25,5,1,Novel,8
BS_25,5,2,Novel,14
BS_25,5,3,Novel,2
BS_25,5,1,Predator,0
BS_25,5,2,Predator,16
BS_25,5,3,Predator,5
BS_26,1,1,Foraging,1
BS_26,1,2,Foraging,0
BS_26,1,3,Foraging,24
BS_26,1,1,Novel,14
BS_26,1,2,Novel,21
BS_26,1,3,Novel,2
BS_26,1,1,Predator,38
BS_26,1,2,Predator,8
BS_26,1,3,Predator,8
BS_26,2,1,Foraging,15
BS_26,2,2,Foraging,21
BS_26,2,3,Foraging,2
BS_26,2,1,Novel,20
BS_26,2,2,Novel,36
BS_26,2,3,Novel,26
BS_26,2,1,Predator,36
BS_26,2,2,Predator,13
BS_26,2,3,Predator,11
BS_26,3,1,Foraging,0
BS_26,3,2,Foraging,0
BS_26,3,3,Foraging,0
BS_26,3,1,Novel,0
BS_26,3,2,Novel,0
BS_26,3,3,Novel,0
BS_26,3,1,Predator,0
BS_26,3,2,Predator,0
BS_26,3,3,Predator,0
BS_26,4,1,Foraging,1
BS_26,4,2,Foraging,1
BS_26,4,3,Foraging,0
BS_26,4,1,Novel,0
BS_26,4,2,Novel,0
BS_26,4,3,Novel,2
BS_26,4,1,Predator,0
BS_26,4,2,Predator,3
BS_26,4,3,Predator,1
BS_26,5,1,Foraging,0
BS_26,5,2,Foraging,0
BS_26,5,3,Foraging,0
BS_26,5,1,Novel,0
BS_26,5,2,Novel,0
BS_26,5,3,Novel,0
BS_26,5,1,Predator,0
BS_26,5,2,Predator,0
BS_26,5,3,Predator,0
BS_26,6,1,Foraging,7
BS_26,6,2,Foraging,14
BS_26,6,3,Foraging,12
BS_26,6,1,Novel,4
BS_26,6,2,Novel,0
BS_26,6,3,Novel,0
BS_26,6,1,Predator,0
BS_26,6,2,Predator,0
BS_26,6,3,Predator,0
BS_26,7,1,Foraging,0
BS_26,7,2,Foraging,3
BS_26,7,3,Foraging,8
BS_26,7,1,Novel,0
BS_26,7,2,Novel,0
BS_26,7,3,Novel,0
BS_26,7,1,Predator,0
BS_26,7,2,Predator,0
BS_26,7,3,Predator,0
BS_27,1,1,Foraging,3
BS_27,1,2,Foraging,6
BS_27,1,3,Foraging,4
BS_27,1,1,Novel,24
BS_27,1,2,Novel,18
BS_27,1,3,Novel,18
BS_27,1,1,Predator,1
BS_27,1,2,Predator,0
BS_27,1,3,Predator,10
BS_27,2,1,Foraging,0
BS_27,2,2,Foraging,0
BS_27,2,3,Foraging,0
BS_27,2,1,Novel,1
BS_27,2,2,Novel,0
BS_27,2,3,Novel,0
BS_27,2,1,Predator,4
BS_27,2,2,Predator,0
BS_27,2,3,Predator,1
BS_29,1,1,Foraging,18
